"","snps","gene","statistic","pvalue","FDR","beta"
"29","chr4_13099469","AT4G25710",7.10288672401064,3.6316090642296e-12,5.48122512901137e-10,39.9367294750192
"30","chr1_26377796","AT1G70020",7.03770616647181,5.59429059196162e-12,8.16206997367201e-10,8.17874226669116
"31","chr1_5781739","AT1G16900",6.96024796120182,9.30947215274967e-12,1.2886090278766e-09,153.700415148585
"32","chr3_9032756","AT3G24740",6.95842925856711,9.42094788486436e-12,1.2886090278766e-09,46.6343414945884
"33","chr1_5484525","AT1G15960",6.85189852903096,1.88362623209481e-11,2.4983733387512e-09,81.6599476976965
"34","chr3_3785526","AT3G11950",-6.7799423029096,2.99300909826561e-11,3.85305906562017e-09,-24.278861160733
"35","chr1_5087969","AT1G14770",-6.72112004974079,4.35742991302979e-11,5.44927735123754e-09,-34.2865084344989
"36","chr4_8839890","AT4G15450",-6.71378587463057,4.56549626154638e-11,5.55088253799681e-09,-160.726090833495
"37","chr1_19956308","AT1G53460",6.58817615164362,1.00839106792474e-10,1.18744185803684e-08,24.085253422997
"38","chr1_5562081","AT1G16260",6.58464770126085,1.03090679930089e-10,1.18744185803684e-08,235.929425570362
"39","chr4_17967543","AT4G38360",6.46084112171869,2.22362116883017e-10,2.49558714255632e-08,50.8913291435549
"40","chr5_21597133","AT5G53220",6.37037107427153,3.87004331723125e-10,4.23479489988029e-08,22.4701239154499
"41","chr5_22416655","AT5G55260",6.35007010159722,4.37858119126267e-10,4.67440240833091e-08,57.951005073949
"42","chr1_23536750","AT1G63470",6.20538866180342,1.04558442700579e-09,1.08964834214389e-07,38.6204549936127
"43","chr2_15044110","AT2G35800",-6.19952651009664,1.08273912221301e-09,1.1021277064945e-07,-294.817262396029
"44","chr4_420381","AT4G00970",6.14309523374326,1.51320344648889e-09,1.50529351938224e-07,1070.18185427768
"45","chr3_1247958","AT3G04605",-6.10345702333137,1.91139396822131e-09,1.85914919975659e-07,-38.5864898360291
"46","chr5_808001","AT5G03330",-6.09416305481872,2.01864020564185e-09,1.92078003915095e-07,-42.5237360852292
"47","chr2_11164685","AT2G26230",-6.0700433342051,2.32513245894348e-09,2.16534144102034e-07,-76.9439226396048
"48","chr1_16977618","AT1G44910",6.05278558368049,2.57186019404656e-09,2.34521501444621e-07,178.296760478791
"49","chr1_10860182","AT1G30630",-6.03479519277195,2.85624843363348e-09,2.55138763143137e-07,-107.440193810455
"50","chr3_18285014","AT3G49310",6.02838878407659,2.96475408263983e-09,2.59534572394291e-07,55.2543543095307
"51","chr3_23405661","AT3G63370",6.01610798912751,3.18411913643847e-09,2.7327234235669e-07,16.8682565571058
"52","chr4_941710","AT4G02120",5.95924555631673,4.4242678047885e-09,3.72404234260755e-07,151.786807259557
"53","chr4_15212528","AT4G31350",5.91407170032486,5.7348513116952e-09,4.7361215455264e-07,59.0746177447592
"54","chr4_148975","AT4G00340",-5.77769856466858,1.24261421091078e-08,1.00720785206602e-06,-80.418979453666
"55","chr1_29909069","AT1G79500",-5.7197437601591,1.71814524529091e-08,1.36733122520697e-06,-93.6263315487172
"56","chr3_17716000","AT3G47990",5.64980764869141,2.53098641963156e-08,1.97823706405845e-06,52.5493676597729
"57","chr2_15600007","AT2G37130",5.62641454640649,2.8785467895998e-08,2.21042092948743e-06,460.453779846021
"58","chr3_21020226","AT3G56750",-5.51053856466511,5.40889694965566e-08,4.08185206011083e-06,-37.6160225465275
"59","chr5_2046826","AT5G06660",-5.41503746529698,9.02114648941699e-08,6.69246748884376e-06,-66.1423998880309
"60","chr4_12906620","AT4G25160",5.40436037560239,9.54761375413338e-08,6.90099330074383e-06,24.1584307323667
"61","chr1_9578136","AT1G27570",5.40298503945842,9.61755977485432e-08,6.90099330074383e-06,123.184730160449
"62","chr3_22495176","AT3G60880",5.37638283321971,1.10725341257466e-07,7.81685191425693e-06,38.3623823642517
"63","chr3_3862956","AT3G12120",5.36134869144517,1.19870150823204e-07,8.32812143100259e-06,2392.72251599505
"64","chr4_12400624","AT4G23840",-5.3551300771653,1.23863304175573e-07,8.47108878713252e-06,-31.47742039866
"65","chr3_22873696","AT3G61790",5.30648762220442,1.59875319980147e-07,1.07657580854324e-05,40.6102079986952
"66","chr3_2020843","AT3G06520",-5.30298175322219,1.6283096729744e-07,1.0798653694862e-05,-108.189498489921
"67","chr4_15592918","AT4G32295",5.27685674648535,1.86586498540742e-07,1.20736276904681e-05,16.714577838807
"68","chr1_26093316","AT1G69420",5.27584302774461,1.87572922767154e-07,1.20736276904681e-05,156.168054576857
"69","chr1_24219212","AT1G65200",-5.21813594184336,2.52878998664004e-07,1.60413243065557e-05,-33.1416954691455
"70","chr3_4048191","AT3G12730",5.16108584323937,3.38835910695381e-07,2.11869254444812e-05,19.8949067023227
"71","chr3_19752093","AT3G53270",5.06217679609387,5.59107461672366e-07,3.44677937991542e-05,52.7940136076078
"72","chr4_18133460","AT4G38870",5.05575189479065,5.77431409433473e-07,3.51030177651432e-05,0.811136370942549
"73","chr5_25294875","AT5G63050",-5.0426175421447,6.16714161594371e-07,3.69775052780625e-05,-53.5095828353717
"74","chr2_278219","AT2G01620",4.97215366390453,8.75692660889935e-07,5.1796037523179e-05,62.8123882764696
"75","chr1_19760541","AT1G53030",-4.96041217738174,9.27998606150905e-07,5.41579986549668e-05,-60.947834636606
"76","chr1_12094294","AT1G33360",4.95236988909541,9.65552207899442e-07,5.56081843944192e-05,29.1234378024212
"77","chr1_22673285","AT1G61450",4.94858297662751,9.83739196827389e-07,5.59198242144608e-05,9.0499221523944
"78","chr1_21554271","AT1G58210",-4.93533122227116,1.05002111720731e-06,5.89223388463639e-05,-19.4217900961841
"79","chr1_29974052","AT1G79650",4.86452448945252,1.483926709724e-06,8.22170532716701e-05,36.0084205125147
"80","chr4_2243207","AT4G04510",4.84799421829853,1.60773733887016e-06,8.79633291529336e-05,22.0069308869081
"81","chr3_1617297","AT3G05570",-4.84535141964536,1.62843292722752e-06,8.7995690400924e-05,-20.8909123389616
"82","chr4_886992","AT4G02020",4.80689709211874,1.96021497264085e-06,0.000104632450429866,74.8522851338022
"83","chr1_12355954","AT1G33990",4.78973392978423,2.12849089723156e-06,0.000112245839243163,166.24730551136
"84","chr5_22532897","AT5G55630",-4.77407302613196,2.29410973223409e-06,0.000119539503547484,-33.3432242478972
"85","chr1_24852834","AT1G66620",-4.76900533028511,2.35030987590577e-06,0.000121027133256936,-11.1602538125331
"86","chr4_13295013","AT4G26255",4.76561702147866,2.38862260707367e-06,0.000121569780827459,729.203417046899
"87","chr1_27721238","AT1G73710",4.72342039754016,2.91907917997124e-06,0.000146859880123381,27.1901231641192
"88","chr4_15243763","AT4G31410",-4.71711531185,3.00748604196405e-06,0.000149002342178355,-30.7955325454554
"89","chr3_17340385","AT3G47080",4.71555569578695,3.029748333076e-06,0.000149002342178355,93.0380630580738
"90","chr3_23388971","AT3G63310",-4.6996078301515,3.26667886585293e-06,0.000158869482175981,-91.1222525227404
"91","chr2_15391004","AT2G36710",4.69504235831789,3.33772256393366e-06,0.000159441387482654,2.24869840559803
"92","chr1_10245003","AT1G29290",4.6941809493786,3.35129258588169e-06,0.000159441387482654,8.57377038795005
"93","chr1_9856545","AT1G28210",4.66595167357324,3.82653983768007e-06,0.000180094245908878,25.3870847098374
"94","chr1_9513793","AT1G27390",-4.65452385830825,4.03680128162666e-06,0.000187968927762552,-46.9297779051307
"95","chr1_9023890","AT1G26100",4.64003027310031,4.31947544296881e-06,0.000199014147514468,13.7725838725608
"96","chr2_11439146","AT2G26820",4.62981335674271,4.53006534650971e-06,0.000206542666892427,9.82005464938167
"97","chr1_29082","AT1G01040",-4.62491739300692,4.63444221175868e-06,0.000209123232586266,-148.072568550125
"98","chr1_7616246","AT1G21690",-4.61991807714756,4.74340401972965e-06,0.000211855912187313,-35.9689969809652
"99","chr3_4924930","AT3G14660",4.59199563735474,5.39869919219417e-06,0.000238687943073069,303.225811648974
"100","chr5_5583895","AT5G16990",-4.58668204783577,5.5328747781688e-06,0.000242173929040449,-115.090927252382
"101","chr5_26406233","AT5G66030",4.58214683326497,5.64992171037603e-06,0.000244848587389266,265.638117246576
"102","chr2_10121326","AT2G23770",4.5755974096958,5.82315457178592e-06,0.00024988183883046,61.9396972909033
"103","chr2_13894894","AT2G32765",4.56886105063846,6.00664407557982e-06,0.000255253214745756,9.67101924262664
"104","chr3_5086729","AT3G15115",4.53630917619102,6.97431475587231e-06,0.000293524766215895,13.3784206925443
"105","chr5_5794651","AT5G17570",4.53126328640688,7.1370981911601e-06,0.000297515036025788,8.90790267410855
"106","chr3_22044115","AT3G59680",4.51809270230543,7.57933445972304e-06,0.000311186816528846,12.9211917984831
"107","chr5_8433617","AT5G24630",-4.517285877002,7.60726282124436e-06,0.000311186816528846,-19.8881081126235
"108","chr4_9720064","AT4G17410",4.48188010117791,8.93480960388309e-06,0.000362107978112929,22.5975594143724
"109","chr5_24123413","AT5G59890",4.47968921492922,9.02386563698942e-06,0.000362362017367915,131.406797016459
"110","chr3_3157577","AT3G10200",-4.45558230051544,1.00616394525235e-05,0.000400361780760867,-21.4084731340069
"111","chr5_2563588","AT5G08000",-4.44481056361085,1.05614368000718e-05,0.000416463143008238,-43.6877211451905
"112","chr2_19534669","AT2G47630",4.43552241444128,1.10114020454732e-05,0.000430329524580678,56.4252149163806
"113","chr5_2514569","AT5G07870",4.42441039658192,1.15738510683422e-05,0.000445083521478607,31.9153485320399
"114","chr1_7400551","AT1G21130",-4.42403011443117,1.15935779685386e-05,0.000445083521478607,-797.766926233207
"115","chr5_2984225","AT5G09620",4.42210393784168,1.16939924537445e-05,0.000445083521478607,75.6104129608414
"116","chr5_19353862","AT5G47800",4.38096872741638,1.40480439680563e-05,0.000530071452139503,33.0528789519897
"117","chr2_13997633","AT2G32980",4.37477380905162,1.44396477595358e-05,0.000540190925158019,19.0216176507566
"118","chr5_1924281","AT5G06300",4.37082485011108,1.46947003093083e-05,0.000545073756388496,33.4186098894107
"119","chr1_9706047","AT1G27860",-4.36850930603628,1.48462523101757e-05,0.000546067616484361,-4.75227449134738
"120","chr5_26946344","AT5G67540",4.36367472996273,1.51675055656365e-05,0.00055323476550659,32.7188933594411
"121","chr2_14121583","AT2G33320",-4.34502678974995,1.64700047798733e-05,0.000595778602657071,-33.5791830298339
"122","chr4_17611325","AT4G37460",4.33619210730977,1.71237616897319e-05,0.000614350040294727,259.392937803968
"123","chr5_3256739","AT5G10350",-4.32877952414117,1.76913426860871e-05,0.00062818585651465,-136.772329879069
"124","chr5_4639691","AT5G14390",4.32743184807626,1.77964464719709e-05,0.00062818585651465,76.116430427347
"125","chr5_18160572","AT5G44980",-4.30982712445524,1.92253944340938e-05,0.000673196411504227,-10.7232854124275
"126","chr1_8757952","AT1G24735",4.30500174356583,1.9635802228826e-05,0.000682110367901359,6.9673623634203
"127","chr3_22470523","AT3G60810",-4.29201730158908,2.078210614211e-05,0.000716246288063115,-37.1447606838723
"128","chr4_14944153","AT4G30610",-4.26144186023771,2.37390366656065e-05,0.000811763777229372,-56.0534941441914
"129","chr1_19144086","AT1G51630",-4.25088030856527,2.48506576986268e-05,0.000843188594937127,-94.0674542273798
"130","chr1_18082267","AT1G48880",-4.24901756271393,2.50517957156948e-05,0.000843474691135354,-10.2070145213735
"131","chr5_24216774","AT5G60142",-4.22506548936978,2.7780478563427e-05,0.000928207287573433,-4.1532091665598
"132","chr1_18407671","AT1G49740",-4.2191421912748,2.8497732701344e-05,0.000940027509966229,-57.7936389245517
"133","chr4_18190219","AT4G39040",-4.21854383232927,2.85711618229107e-05,0.000940027509966229,-134.204142343425
"134","chr5_17990060","AT5G44600",4.21686180021467,2.87785438280728e-05,0.000940027509966229,27.5870431168814
"135","chr5_3190200","AT5G10170",4.20330373897983,3.05033350315803e-05,0.000988985906912792,71.1384679936678
"136","chr1_4261712","AT1G12490",4.1917970381554,3.204400773883e-05,0.00103129869024161,0.958787883233419
"137","chr4_9390590","AT4G16680",-4.18803679623483,3.25633513756279e-05,0.00104036342314688,-54.7291256709269
"138","chr2_11497096","AT2G26940",-4.17788594976281,3.40056636252632e-05,0.0010785709397665,-0.741324658710291
"139","chr3_6124013","AT3G17880",-4.17365910977204,3.46240127723818e-05,0.00109028276190443,-44.5956496797062
"140","chr1_30358444","AT1G80770",4.1683775541298,3.54117118338173e-05,0.00110712187640442,127.988407330198
"141","chr1_354678","AT1G02020",4.15425242470849,3.76030526744092e-05,0.00116729476280772,47.4518998633243
"142","chr1_7064730","AT1G20380",4.12455950998847,4.26376562437721e-05,0.00131426071393655,23.6147831679014
"143","chr3_19396614","AT3G52300",-4.10229001485829,4.68276378136831e-05,0.00143331867629714,-170.625552788885
"144","chr3_20120045","AT3G54340",4.08958837997203,4.93897841945937e-05,0.00150124364874817,1.78023136180358
"145","chr5_12084042","AT5G32460",-4.08426452733226,5.05028534747646e-05,0.00152448958385548,-50.5209745965067
"146","chr5_25477777","AT5G63640",4.07271549628251,5.29999293385601e-05,0.00158890884051286,30.6850438953295
"147","chr1_19265352","AT1G51870",4.07065804313034,5.34569160658884e-05,0.0015917069497986,3.30534714880513
"148","chr2_654902","AT2G02470",4.06602039839342,5.45007630659221e-05,0.00161182324283474,77.1441568121607
"149","chr2_10205930","AT2G23985",4.0597202644987,5.59498562167912e-05,0.00164357396416708,25.2191264121623
"150","chr1_164165","AT1G01448",4.04926660888936,5.84353453158719e-05,0.00170514337631714,24.486202248395
"151","chr1_24511225","AT1G65880",-4.0454689786217,5.93639696924545e-05,0.00172076884333691,-16.7348604881025
"152","chr3_8048574","AT3G22770",4.02618706393595,6.42991211776669e-05,0.00185156087759637,0.641188683869564
"153","chr5_15316354","AT5G38320",-4.01883132885446,6.62824609327671e-05,0.00189619824511583,-2.21320066702401
"154","chr2_13642465","AT2G32080",4.01613829443919,6.70229987517522e-05,0.00190493289309363,185.145149295488
"155","chr3_17689119","AT3G47940",3.98791255249877,7.52717477126177e-05,0.00212345561214399,24.3904134476621
"156","chr1_2953007","AT1G09160",3.98658735913407,7.56817627357694e-05,0.00212345561214399,56.6105469236709
"157","chr1_7850836","AT1G22230",-3.98337763740404,7.66836441456764e-05,0.00213786184984475,-7.2168807766014
"158","chr5_22501898","AT5G55550",-3.98139642678109,7.73083206156296e-05,0.00214163619832032,-201.27773900077
"159","chr4_14293627","AT4G29000",3.96923308815142,8.12504201070851e-05,0.00223668609313655,25.1569618735386
"160","chr4_571084","AT4G01390",3.96412327549735,8.29626818374696e-05,0.00226954786501628,169.720852751147
"161","chr1_28439466","AT1G75730",-3.92852279064613,9.58760545545732e-05,0.00260651857630663,-66.8179847933096
"162","chr5_19782010","AT5G48790",-3.92533440118827,9.71210895495913e-05,0.00262406795653433,-261.39065414539
"163","chr5_364884","AT5G01940",3.91914859472983,9.95803645175064e-05,0.00265984784286926,15.6568131064145
"164","chr4_1144329","AT4G02600",-3.91894888336223,9.96607370871735e-05,0.00265984784286926,-53.7416684937712
"165","chr5_4074583","AT5G12900",3.90445043135454,0.000105662395642036,0.00280293518621328,31.947523023577
"166","chr3_533301","AT3G02540",-3.87532298198349,0.000118768355706043,0.00313162104171897,-172.850494652771
"167","chr4_1134849","AT4G02580",-3.85455830851921,0.000129034209415683,0.00338193254258947,-77.1113318807807
"168","chr2_7445206","AT2G17110",3.8509716129982,0.000130890249492452,0.00339379269573045,20.229337226428
"169","chr5_18723569","AT5G46190",3.85068919585971,0.000131037460721601,0.00339379269573045,29.8225957818462
"170","chr5_25263825","AT5G62950",-3.84768685647543,0.000132612144891738,0.00341437269524197,-67.1607826014281
"171","chr5_14836216","AT5G37400",3.84116258616889,0.000136095878435738,0.00348357695855686,7.54446511218846
"172","chr2_13011724","AT2G30540",-3.83336531415633,0.000140372743364051,0.00356783134539158,-25.41801904368
"173","chr3_20837566","AT3G56160",-3.83220884820072,0.000141017779929802,0.00356783134539158,-98.7728839034033
"174","chr2_15793602","AT2G37650",-3.83050915438738,0.000141970892007465,0.00357130226618779,-13.3470555919446
"175","chr1_22938932","AT1G62050",3.81348618995409,0.000151858086200032,0.00379818767598596,36.5608753021328
"176","chr3_10893625","AT3G28880",3.80676568663525,0.000155937554832101,0.00387806066761424,11.7331499771332
"177","chr2_9152072","AT2G21390",3.79008178102932,0.000166516567235806,0.00411775714571256,187.88590231698
"178","chr3_23276358","AT3G62980",3.7804415876642,0.000172934157880985,0.00425243151148917,156.742304985889
"179","chr5_22382021","AT5G55140",-3.77299314026052,0.000178051642351552,0.0043538102713561,-36.1231146946799
"180","chr1_25501220","AT1G68030",3.7579152942615,0.000188851076271397,0.00459222867133281,2.39912551159064
"181","chr5_7747068","AT5G23080",3.75438638073383,0.000191466302197581,0.00462265587926275,28.7320183361496
"182","chr2_15781723","AT2G37630",-3.75275537109773,0.000192686516108977,0.00462265587926275,-56.8973988426782
"183","chr1_8470278","AT1G23950",3.75185191770039,0.000193365570031828,0.00462265587926275,160.246864685407
"184","chr4_18385078","AT4G39570",3.75057805406046,0.000194326863555939,0.00462265587926275,18.0857094182871
"185","chr5_21492181","AT5G53010",3.74472646412239,0.000198800770092009,0.00470351876050122,42.0812736493648
"186","chr2_18108337","AT2G43680",3.73862271203548,0.000203570751388377,0.00478416840298825,570.979610929464
"187","chr3_20257819","AT3G54720",-3.73758091806291,0.000204395588612932,0.00478416840298825,-65.657175148464
"188","chr2_937421","AT2G03120",3.73161978585328,0.00020917615552228,0.00487002145064372,94.1400418823408
"189","chr3_9273390","AT3G25530",3.71161091260812,0.000226003564227666,0.00523395555885976,293.368347429251
"190","chr2_11720950","AT2G27389",3.69883370998478,0.000237407094099169,0.00546910974143191,0.794174809648914
"191","chr2_17864278","AT2G42950",3.68772380645069,0.000247760393249144,0.00564990288854991,19.7894862818745
"192","chr3_20516006","AT3G55340",3.68764352764296,0.000247836727119393,0.00564990288854991,23.082416865616
"193","chr1_30412221","AT1G80940",3.66917429601403,0.000265998464726187,0.00603251440469699,42.9904729324704
"194","chr1_11872478","AT1G32780",-3.66243251859916,0.000272934228931651,0.00615790268058679,-10.9438091017176
"195","chr4_11890630","AT4G22580",3.6602570628737,0.000275208306730189,0.00617466333961597,27.5367350723456
"196","chr3_4922178","AT3G14650",3.65838120084536,0.000277183492036259,0.00617466333961597,201.876228992116
"197","chr4_15049365","AT4G30920",3.65759211641113,0.000278018330351403,0.00617466333961597,88.1917950200083
"198","chr3_10880779","AT3G28865",-3.6563662804286,0.000279319931744108,0.00617466333961597,-47.3719444397796
"199","chr1_9107534","AT1G26330",3.65100953156217,0.000285075228165415,0.00625993573955193,6.65701437522962
"200","chr3_11924475","AT3G30300",3.65012361100137,0.000286037730845416,0.00625993573955193,122.753214943431
"201","chr3_15207834","AT3G43230",3.6452619075468,0.000291374266553789,0.0063450008194325,108.693808665459
"202","chr1_864044","AT1G03457",3.64044604102824,0.000296752571143293,0.00643012873214947,92.4843578586824
"203","chr1_29012073","AT1G77210",3.62934491720863,0.000309507384068749,0.00667346709393553,89.147745774632
"204","chr1_8220585","AT1G23190",-3.62038939745521,0.000320170150701,0.00686953308636411,-135.644784228518
"205","chr1_12355761","AT1G33990",3.61517536277135,0.000326535969712217,0.00697194116795303,174.679393268331
"206","chr5_3918610","AT5G12120",-3.59387475977852,0.000353795996802093,0.0075173062038969,-50.0886590332066
"207","chr3_23004928","AT3G62130",3.56987488847051,0.000387061627403191,0.00818439006349646,37.8815705796383
"208","chr2_8356157","AT2G19260",-3.5645182235401,0.000394876065973049,0.00830948336905786,-28.5109227523439
"209","chr4_15787375","AT4G32720",-3.55903059108231,0.000403034650268428,0.00839569424967753,-55.9106434317687
"210","chr1_18313716","AT1G49475",-3.55860618871866,0.000403672151711285,0.00839569424967753,-2.5645725679456
"211","chr2_10277191","AT2G24170",3.55790511037368,0.000404727321608855,0.00839569424967753,28.502919447259
"212","chr5_25756552","AT5G64420",3.55328539691495,0.000411745156379305,0.00850098372392556,75.5745310090698
"213","chr1_30074231","AT1G79950",3.54962896492173,0.000417380281815791,0.00857687086153858,33.5156557066879
"214","chr1_7987748","AT1G22600",3.54739266244105,0.000420862272616632,0.00860282151959405,22.5394888034324
"215","chr1_27647457","AT1G73550",3.54629961909004,0.000422574052253306,0.00860282151959405,69.5
"216","chr3_824154","AT3G03460",3.54369047300592,0.000426686537827229,0.00864632859291566,11.2670467284852
"217","chr1_29665850","AT1G78910",3.53284555707685,0.000444184912572005,0.00895943484943624,5.76772906765594
"218","chr5_23999679","AT5G59550",3.52990762813252,0.000449039618970565,0.00901342004003853,316.391206709723
"219","chr5_18093462","AT5G44800",3.52874173652557,0.000450979892339145,0.00901342004003853,117.562692979561
"220","chr1_26800270","AT1G71040",3.52096765363521,0.00046411940359882,0.00923386649796379,206.775641705242
"221","chr5_24817409","AT5G61770",3.51463196089854,0.000475091745348045,0.0093837600482952,43.1043279907253
"222","chr2_16655974","AT2G39890",-3.51414717744275,0.000475941222463225,0.0093837600482952,-159.011828381715
"223","chr2_9219414","AT2G21530",-3.50819614719467,0.000486485509917763,0.00954864160049348,-173.822335264955
"224","chr5_7918163","AT5G23480",3.50594506875342,0.000490530701363799,0.00958505749941674,4.43895821459916
"225","chr3_3443279","AT3G10985",3.49829920057981,0.000504506367491283,0.00980657653514365,569.655547057967
"226","chr5_8355047","AT5G24460",3.49730633979494,0.000506348251529007,0.00980657653514365,125.579550330953
"227","chr4_18232051","AT4G39140",3.4957847131603,0.000509183265572758,0.00981804032340071,36.5123126567052
"228","chr4_13574905","AT4G27040",-3.4928289921013,0.000514732654808458,0.00988151241270447,-233.253877518974
"229","chr3_10219825","AT3G27580",3.49149402198235,0.000517257556156685,0.00988662149911707,19.1437401263987
"230","chr3_16229931","AT3G44680",-3.48890850561802,0.000522180631824646,0.00993732445868033,-39.2178685884165
"231","chr5_10294302","AT5G28300",3.48582809887176,0.00052810317741867,0.0100065264396603,368.246110114475
"232","chr3_1365243","AT3G04940",-3.4787915289858,0.000541868275595322,0.0102230924236238,-51.4705767527309
"233","chr2_18303884","AT2G44280",-3.46933037325881,0.00056090510492688,0.0105368310912659,-21.9477155274218
"234","chr4_17510908","AT4G37200",-3.46243024124113,0.00057518074434964,0.0107588295641811,-124.724573882202
"235","chr2_19625923","AT2G47960",-3.45060427723112,0.000600438975004179,0.0111834952918863,-53.9097246251537
"236","chr1_7919624","AT1G22430",-3.43151574029314,0.000643402757050348,0.0118936709972317,-274.767763025133
"237","chr4_1076326","AT4G02460",-3.43083366903278,0.000644989732737478,0.0118936709972317,-22.2519542301277
"238","chr2_13359199","AT2G31320",3.43009176784649,0.000646720058793953,0.0118936709972317,14.7241596975065
"239","chr5_7988481","AT5G23690",-3.42565525924391,0.000657157931561974,0.0120350638763463,-19.4670303804846
"240","chr1_25343937","AT1G67626",3.41829973807297,0.000674810169767193,0.0123068504711292,1.97494657918209
"241","chr5_17840900","AT5G44290",3.4087524434366,0.000698381779485708,0.0126838881693317,119.802880135985
"242","chr5_8736517","AT5G25220",3.40586671102976,0.000705656056592538,0.0127391980355855,371.194342882313
"243","chr5_3448700","AT5G10940",3.40523882269617,0.000707248143168217,0.0127391980355855,21.585747214503
"244","chr1_3263565","AT1G09995",3.40320217035432,0.000712435382472772,0.0127466756821535,34.0060673813623
"245","chr3_824183","AT3G03460",3.40279069852748,0.000713487672407495,0.0127466756821535,10.5039820420587
"246","chr5_21386872","AT5G52760",-3.39814072955361,0.000725480472583055,0.0129082440182765,-341.608092023062
"247","chr5_7900372","AT5G23430",3.39580623690538,0.000731571939217063,0.012932195768104,28.541227441249
"248","chr5_3879417","AT5G12010",3.3953622639853,0.000732735789465339,0.012932195768104,49.7172746363826
"249","chr3_7047644","AT3G20200",3.39372545356655,0.000737041510562194,0.0129559465531354,9.40280498977365
"250","chr4_15153414","AT4G31170",-3.38631704058419,0.000756826036046202,0.0132104037810516,-91.9718340148612
"251","chr2_13002033","AT2G30505",-3.38510303714184,0.000760114857293473,0.0132104037810516,-4.20972009810671
"252","chr1_10435348","AT1G29800",-3.38486690596261,0.000760756096993401,0.0132104037810516,-41.2247978806955
"253","chr4_15507205","AT4G32070",3.38382566540314,0.000763589709071525,0.0132104037810516,36.0990368033604
"254","chr4_9968555","AT4G17950",3.37889224796089,0.000777149468406467,0.0133920599339177,28.3179173178299
"255","chr4_11206047","AT4G20940",-3.376799011067,0.000782970282300946,0.0134394546103186,-20.4305755324667
"256","chr4_6961992","AT4G11450",3.37450416260548,0.000789398341995052,0.0134968614957513,10.9881092682654
"257","chr3_21614965","AT3G58430",-3.36813702799862,0.000807491279052631,0.0136303331389789,-56.3299048601393
